country,n_cluster
Guinea,5
CaboVerde,5
Somalia,5
Kenya,5
Liberia,5
Nigeria,5
Djibouti,5
EquatorialGuinea,5
Algeria,5
Tunisia,5
Congo,5
Zambia,5
Gabon,5
Eritrea,5
Angola,5
Botswana,5
Mali,5
Namibia,5
Sudan,5
Senegal,5
Mauritania,5
Niger,5
Burundi,5
IvoryCoast,5
CentralAfricanRepublic,5
Ethiopia,5
DemocraticRepublicoftheCongo,5
Guinea-Bissau,5
Cameroon,5
Egypt,10
SierraLeone,5
Benin,5
Ghana,5
Rwanda,5
Lesotho,5
Chad,5
Libya,5
UnitedRepublicofTanzania,5
Eswatini,5
Gambia,5
Togo,5
Madagascar,5
Morocco,5
WesternSahara,5
Mozambique,5
SouthSudan,5
Zimbabwe,5
SouthAfrica,10
BurkinaFaso,5
Malawi,5
Uganda,5
